id,gid,kecamatan,kelurahan,geom,nama,id_tps,alamat,thn_bangun,klasifikasi_struktur,klasifikasi_pengangkutan,tahun,status,kel_dilayani,kapasitas,vol_masuk,vol_dikelola,vol_diangkut,waktu_angkut,id_delivery,data_tahun,koordinat,lat,lon,utilisasi
,,Tambaksari,Pacar keling,0101000020ED7F0000FB65A4EF3B2F254199133193E38A6141,TPS Candi Puro,102,Jl.Candipuro,,TPS,armroll,,aktif,"Pacar keling,Ploso",14.0,14.0,14.0,14.0,<1 hari,,2021," -7.25811554403942, 112.75872467346",-7.25811554403942,112.75872467346,100.0
20.0,16.0,Tambaksari,Pacar keling,0101000020ED7F00007878CA2A1E2F25410C1C111BC18A6141,TPS Pasar Pacar Keling,103,Jl. Pacar Keling,,TPS,armroll,,aktif,"Pacar keling, pacar kembang",28.0,28.0,28.0,28.0,<1 hari,,2021,"-7.26060931560042,112.758599588001",-7.26060931560042,112.758599588001,100.0
,,Genteng,Genteng,0101000020ED7F0000D10A41F6FB20254169CD87A4C38A6141,TPS Simpang Dukuh,9,Jl.Simpang Dukuh,,TPS,compactor,,aktif,"Genteng,Simpang,Ketabang",26.4,26.4,26.4,26.4,<1 hari,,2021," -7.2604889847242, 112.742218088443",-7.2604889847242,112.742218088443,100.0
22.0,18.0,Genteng,Genteng,0101000020ED7F000053EA2A4C621F2541947A7EE8E28A6141,TPS Pasar Genteng,10,Jl. Genteng Besar,,TPS,compactor,,aktif,"Genteng, Simpang, Ketabang",26.0,26.0,26.0,26.0,<1 hari,,2021,"-7.25823456461808,112.740354700379",-7.25823456461808,112.740354700379,100.0
,,Tegalsari,Wonorejo,0101000020ED7F000071012633AE15254126D4A1BD4D8A6141,TPS Pasar Kembang,16,Jl.Wonorejo III (Pasar kembang),,TPS,compactor,,aktif,"Kel.Kedungdoro,Kel.Tegalsari",26.4,26.4,26.4,26.4,<1 hari,,2021," -7.26906737179481, 112.729149589336",-7.26906737179481,112.729149589336,100.0
24.0,20.0,Ketabang,Ketabang,0101000020ED7F000089439E0273292541FC0C59D3AB8A6141,TPS Legundi,12,Jl. Anggrek,,TPS,compactor,,aktif,"Kel. Ketabang, Kel. Pacar Keling, Kel. Pacar Kembang",29.7,29.7,29.7,29.7,<1 hari,,2021,"-7.26217397863795,112.752035705462",-7.26217397863795,112.752035705462,100.0
,,Peneleh,Peneleh,0101000020ED7F000081189FC94D2025410BA7B754358B6141,TPS Makam Peneleh,13,Jl.Makam Peneleh,,TPS,compactor,,aktif,"Kel.Peneleh,Kel.Alun-Alun Contong",23.1,23.1,23.1,23.1,<1 hari,,2021," -7.25226856902503, 112.741397916378",-7.25226856902503,112.741397916378,100.0
26.0,22.0,Tegalsari,Tegalsari,0101000020ED7F00003FB46B217A1D25417F26AB44248A6141,TPS Kedondong,14,Jl. Kedondong,,TPS,armroll,,aktif,"Kel. Tegalsari, Kel. Embong Kaliasin, Kel. Wonorejo",42.0,42.0,42.0,42.0,<1 hari,,2021,"-7.27203266105823,112.738197604311",-7.27203266105823,112.738197604311,100.0
,,Kedungdoro,Kedungdoro,0101000020ED7F0000EE53324F431725417D4AE141818A6141,TPS Kedung Anyar,15,Jl.Kedung Anyar,,TPS,compactor,,aktif,"Kel.Kedungdoro,Kel.Tegalsari",33.0,33.0,33.0,33.0,<1 hari,,2021," -7.26533398962904, 112.730969440295",-7.26533398962904,112.730969440295,100.0
28.0,25.0,Sawunggaling,Sawunggaling,0101000020ED7F0000632CE2E7CB17254134DC7D48A4886141,TPS Joyoboyo,152,Jl. Joyoboyo Gunungsari,,TPS,compactor,,aktif,Kel. Sawunggaling,26.4,26.4,26.4,26.4,<1 hari,,2021,"-7.29983287234375,112.731720287894",-7.29983287234375,112.731720287894,100.0
,,Gunung Sari,Gunung Sari,0101000020ED7F0000F5E3942E1908254118D1D55043886141,TPS Jogoloyo,189,Jl.Jogoloyo,,TPS,armroll,,aktif,"Kel.Gunung Sari,Kel.Jajar Tunggal",14.0,14.0,14.0,14.0,<1 hari,,2021," -7.30691635836133, 112.713551082118",-7.30691635836133,112.713551082118,100.0
30.0,29.0,Pagesangan,Pagesangan,0101000020ED7F0000DC70092107082541E54BC5FFC0866141,TPS Pagesangan,177,Jl. Pagesangan,,TPS,armroll,,aktif,"Kel. Pagesangan, Kel. Kebonsari",28.0,28.0,28.0,28.0,<1 hari,,2021,"-7.33486055109928,112.713576032228",-7.33486055109928,112.713576032228,100.0
,,GAYUNGAN,MENANGGAL,0101000020ED7F0000A9D34C5C5F0F2541B9993FAB81866141,TPS MENANGGAL YKP,172,JL MENANGGAL YKP,,TPS,armroll,,aktif,MENANGGAL,14.0,14.0,14.0,14.0,<1 hari,,2021," -7.33940891334665, 112.72210761978",-7.33940891334665,112.72210761978,100.0
32.0,189.0,JAMBANGAN,KEBONSARI,0101000020ED7F000084AF4507A50525419F7A20D2F3866141,TPS PASAR KEBONSARI,171,JL KEBONSARI TENGAH,,TPS,armroll,,aktif,KEBONSSARI,14.0,14.0,14.0,14.0,<1 hari,,2021,"-7.33119492988723,112.710799359633",-7.33119492988723,112.710799359633,100.0
,,GAYUNGAN,DUKUH MENANGGAL,0101000020ED7F00007EFF7E048A112541B47AA129F8856141,TPS TERMINAL BUNGURASIH,174,TERMINAL BUNGURASIH,,TPS,armroll,,aktif,TERMINAL BUNGURAASIH,14.0,14.0,14.0,14.0,<1 hari,,2021," -7.34934560774693, 112.724657554422",-7.34934560774693,112.724657554422,100.0
34.0,30.0,Jambangan,Jambangan,0101000020ED7F0000DABA4D22840A25418B38FDFFB3876141,TPS Jambangan,176,Jl. Jambangan,,TPS,armroll,,aktif,"Kel. Jambangan, Kel. Kebonsari",28.0,28.0,28.0,28.0,<1 hari,,2021,"-7.31727231643759,112.716393217777",-7.31727231643759,112.716393217777,100.0
,,Gayungan,Gayungan,0101000020ED7F0000434B8417BD1025415B7204F4EC866141,TPS Gayungsari,169,Jl.Gayungsari 4,,TPS,armroll,,aktif,Kel.Gayungan,14.0,14.0,14.0,14.0,<1 hari,,2021," -7.33164257056066, 112.723661402438",-7.33164257056066,112.723661402438,100.0
36.0,32.0,Kedurus,Kedurus,0101000020ED7F00009BEA4A4FD803254143DB3B8E2F876141,TPS bogangin,165,Jl. Mastrip,,TPS,armroll,,aktif,"Kel. Kedurus, Kel. Kebraon",28.0,28.0,28.0,28.0,<1 hari,,2021,"-7.32688198940734,112.708696694989",-7.32688198940734,112.708696694989,100.0
